scenario_id,detector_id,policy_id,n_seeds,A_mean,A_ci_lo,A_ci_hi,H_mean,H_ci_lo,H_ci_hi,loss_mean,loss_p90,loss_cvar,loss_cvar_ci_lo,loss_cvar_ci_hi
S0_nominal,D0_weak,P_alpha0.15,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09290909090909094,0.09490909090909094,0.09530909090909094,0.09490909090909094,0.09690909090909094
S0_nominal,D0_weak,P_alpha0.30,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09290909090909094,0.09490909090909094,0.09530909090909094,0.09490909090909094,0.09690909090909094
S0_nominal,D0_weak,P_alpha0.45,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09290909090909094,0.09490909090909094,0.09530909090909094,0.09490909090909094,0.09690909090909094
S0_nominal,D0_weak,P_alpha0.60,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09290909090909094,0.09490909090909094,0.09530909090909094,0.09490909090909094,0.09690909090909094
S0_nominal,D0_weak,P_alpha0.75,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09290909090909094,0.09490909090909094,0.09530909090909094,0.09490909090909094,0.09690909090909094
S0_nominal,D0_weak,P_alpha0.90,40,1.0,1.0,1.0,1.0,1.0,1.0,0.0020000000000000005,0.004,0.004400000000000001,0.004,0.006
S0_nominal,D0_weak,P_alpha1.00,40,1.0,1.0,1.0,0.9453124999999993,0.9453124999999993,0.9453124999999993,0.0676250000000008,0.0696250000000008,0.07002500000000081,0.0696250000000008,0.0716250000000008
S0_nominal,D0_weak,P_availability_first,40,1.0,1.0,1.0,0.9453124999999993,0.9453124999999993,0.9453124999999993,0.0676250000000008,0.0696250000000008,0.07002500000000081,0.0696250000000008,0.0716250000000008
S0_nominal,D0_weak,P_heat_first,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09290909090909094,0.09490909090909094,0.09530909090909094,0.09490909090909094,0.09690909090909094
S0_nominal,D0_weak,P_balanced,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09290909090909094,0.09490909090909094,0.09530909090909094,0.09490909090909094,0.09690909090909094
S0_nominal,D0_weak,P_no_containment,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09290909090909094,0.09490909090909094,0.09530909090909094,0.09490909090909094,0.09690909090909094
S0_nominal,D0_weak,P_aggressive,40,0.8972406881313131,0.8939209694602274,0.9004319148516415,1.0,1.0,1.0,0.1093686868686869,0.1295997474747476,0.13473241341991352,0.12349571270743158,0.14653929924242434
S0_nominal,D0_weak,P_conservative,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09290909090909094,0.09490909090909094,0.09530909090909094,0.09490909090909094,0.09690909090909094
S0_nominal,D1_improved,P_alpha0.15,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09200909090909094,0.09290909090909094,0.0933535353535354,0.09290909090909096,0.09640909090909094
S0_nominal,D1_improved,P_alpha0.30,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09200909090909094,0.09290909090909094,0.0933535353535354,0.09290909090909096,0.09640909090909094
S0_nominal,D1_improved,P_alpha0.45,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09200909090909094,0.09290909090909094,0.0933535353535354,0.09290909090909096,0.09640909090909094
S0_nominal,D1_improved,P_alpha0.60,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09200909090909094,0.09290909090909094,0.0933535353535354,0.09290909090909096,0.09640909090909094
S0_nominal,D1_improved,P_alpha0.75,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09200909090909094,0.09290909090909094,0.0933535353535354,0.09290909090909096,0.09640909090909094
S0_nominal,D1_improved,P_alpha0.90,40,1.0,1.0,1.0,1.0,1.0,1.0,0.0011,0.002,0.002444444444444445,0.0020000000000000005,0.0055
S0_nominal,D1_improved,P_alpha1.00,40,1.0,1.0,1.0,0.9453124999999993,0.9453124999999993,0.9453124999999993,0.0667250000000008,0.0676250000000008,0.06806944444444524,0.0676250000000008,0.0711250000000008
S0_nominal,D1_improved,P_availability_first,40,1.0,1.0,1.0,0.9453124999999993,0.9453124999999993,0.9453124999999993,0.0667250000000008,0.0676250000000008,0.06806944444444524,0.0676250000000008,0.0711250000000008
S0_nominal,D1_improved,P_heat_first,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09200909090909094,0.09290909090909094,0.0933535353535354,0.09290909090909096,0.09640909090909094
S0_nominal,D1_improved,P_balanced,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09200909090909094,0.09290909090909094,0.0933535353535354,0.09290909090909096,0.09640909090909094
S0_nominal,D1_improved,P_no_containment,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09200909090909094,0.09290909090909094,0.0933535353535354,0.09290909090909096,0.09640909090909094
S0_nominal,D1_improved,P_aggressive,40,0.9024601089015152,0.8998713245738637,0.9047637468434344,1.0,1.0,1.0,0.10134822443181823,0.11511553030303032,0.12769397095959606,0.111219696969697,0.1347455808080809
S0_nominal,D1_improved,P_conservative,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09200909090909094,0.09290909090909094,0.0933535353535354,0.09290909090909096,0.09640909090909094
