Scenario,Detector,Baseline,A_mean,H_mean,loss_mean,loss_p90,loss_cvar,loss_cvar_ci_lo,loss_cvar_ci_hi
A0,D0_weak,NoContain,0.5550133759469698,0.9441970273313388,0.7738434204220903,0.8400038515192256,0.8561967687522922,0.8362233407824475,0.8651207211352447
A0,D0_weak,Aggressive,0.679859375,0.998909909921735,0.4220624483716958,0.4513924492531159,0.468693771287726,0.4489615208163094,0.4818718140006414
A0,D0_weak,Conservative,0.5798046085858587,0.9760701042565578,0.6859364399173828,0.7629692663785043,0.8139566583170426,0.7565537774642972,0.8470862246376961
A0,D0_weak,A-first,0.7246591303661617,0.602624528663016,0.9367973380159968,1.0423337945992182,1.09474146454464,1.0384583996689425,1.1352687325625204
A0,D0_weak,H-first,0.5777413194444445,1.0,0.6068645833333333,0.677635101010101,0.7132915088383838,0.6729349873737372,0.7469168244949496
A0,D0_weak,Balanced,0.6237221038510101,0.992384265092966,0.5700226808152085,0.6326339949393125,0.6625911187861477,0.6264986256980294,0.6909255348024091
A0,D1_improved,NoContain,0.5550133759469698,0.9441970273313388,0.7737434204220902,0.8400038515192256,0.8561967687522922,0.8362233407824475,0.8651207211352447
A0,D1_improved,Aggressive,0.7089925820707071,0.9998226064593132,0.3791932068447834,0.4047837997540933,0.4099070397778183,0.4033770529322967,0.4147862222273132
A0,D1_improved,Conservative,0.7281207386363636,0.9988692854467688,0.3699008757719585,0.3959769872999144,0.4044059459578139,0.3919839453673898,0.4102714240756862
A0,D1_improved,A-first,0.7529262152777778,0.7246767430160983,0.667364297269571,0.7224738680911943,0.7427972797531769,0.7193434548833855,0.7597704425810524
A0,D1_improved,H-first,0.7161596038510101,1.0,0.3737430003156565,0.3968083964646465,0.4091362847222222,0.3966182133838383,0.4265972222222222
A0,D1_improved,Balanced,0.7188952809343434,0.9995436517312108,0.3715549411548703,0.3948522822733383,0.4061104556146138,0.3943924055400908,0.4210629798488919
A1,D0_weak,NoContain,0.5340133759469697,0.9166415837829518,0.8279099526801549,0.8940703837772901,0.9102633010103568,0.890289873040512,0.9191872533933092
A1,D0_weak,Aggressive,0.6589186710858586,0.9963972613372256,0.4460183305872484,0.4764892374984726,0.4918642924647176,0.4739381654936143,0.5026452001428092
A1,D0_weak,Conservative,0.558157831439394,0.9512511518720144,0.7373659599252997,0.818110521164265,0.868668411369238,0.8115528877524313,0.9011527568957608
A1,D0_weak,A-first,0.70627407354798,0.5953036138444676,0.9639674926164368,1.076542165673876,1.1229606176177094,1.0640714829404174,1.1667254018257172
A1,D0_weak,H-first,0.5503867234848485,1.0,0.6342191792929294,0.705753005050505,0.7414026357323231,0.7004692313762625,0.7748117108585858
A1,D0_weak,Balanced,0.6020868544823232,0.9761603151601704,0.6111266701032502,0.6755649278572009,0.7093376451638358,0.6713408874095668,0.7362937105747495
A1,D1_improved,NoContain,0.5340133759469697,0.9166415837829518,0.8278099526801548,0.8940703837772901,0.9102633010103568,0.890289873040512,0.9191872533933092
A1,D1_improved,Aggressive,0.6861613936237374,0.9992263452235944,0.4027399087746161,0.4289139642773501,0.4336997593118685,0.4270017136827892,0.4381991972395324
A1,D1_improved,Conservative,0.7031677083333334,0.996295764466426,0.3979421312514001,0.4210781249236315,0.432823956265019,0.4201992184588448,0.4395634434376527
A1,D1_improved,A-first,0.7474922569444444,0.7213556883285982,0.6767835212279042,0.7314937699118197,0.752188078364288,0.7292226642979697,0.7709313907726457
A1,D1_improved,H-first,0.6891671622474748,1.0,0.4007354419191919,0.4244729040404041,0.4365668402777778,0.4238123319128787,0.4534627525252525
A1,D1_improved,Balanced,0.6958360842803031,0.998380461312024,0.3960099663119348,0.4200263262921552,0.4311597290953893,0.4193983618714552,0.4481413140986477
