scenario_id,detector_id,knee_policy_id,knee_A,knee_H,knee_loss_mean,knee_loss_p90,knee_loss_cvar,knee_distance
S0_nominal,D0_weak,P_alpha0.90,1.0,1.0,0.0020000000000000005,0.004,0.004400000000000001,0.0
S0_nominal,D1_improved,P_alpha0.90,1.0,1.0,0.0011,0.002,0.002444444444444445,0.0
S0_nominal,D_oracle,P_alpha0.90,1.0,1.0,0.0,0.0,0.0,0.0
S1_grid_cap,D0_weak,P_alpha0.90,0.965878787878788,1.0,0.036121212121212,0.038121212121212,0.038521212121212,4.012279430596693e-16
S1_grid_cap,D1_improved,P_alpha0.90,0.965878787878788,1.0,0.035221212121212,0.036121212121212,0.03656565656565644,4.012279430596693e-16
S1_grid_cap,D_oracle,P_alpha0.90,0.965878787878788,1.0,0.034121212121212,0.034121212121212,0.034121212121212,4.012279430596693e-16
S2_hp_cap_peak,D0_weak,P_alpha0.90,1.0,1.0,0.0020000000000000005,0.004,0.004400000000000001,0.0
S2_hp_cap_peak,D1_improved,P_alpha0.90,1.0,1.0,0.0011,0.002,0.002444444444444445,0.0
S2_hp_cap_peak,D_oracle,P_alpha0.90,1.0,1.0,0.0,0.0,0.0,0.0
A0_attack_only,D0_weak,P_aggressive,0.679859375,0.998909909921735,0.4220624483716958,0.4513924492531159,0.468693771287726,0.0913325450346583
A0_attack_only,D1_improved,P_alpha0.90,0.7510065972222222,0.9890429611449679,0.35204445357048303,0.3819072250860418,0.39355183640843916,0.032834556090017515
A0_attack_only,D_oracle,P_alpha0.90,0.7505827256944444,0.9903459612506109,0.34823562774926675,0.37910028167257265,0.38194941619445455,0.028840390819220536
A1_grid_cap_plus_attack,D0_weak,P_aggressive,0.6589186710858586,0.9963972613372256,0.44601833058724843,0.47648923749847266,0.49186429246471763,0.0989997936287183
A1_grid_cap_plus_attack,D1_improved,P_alpha0.90,0.7385868001893939,0.9847749454779653,0.3695858694037145,0.4001138486951166,0.41150558582676566,0.045189667534677055
A1_grid_cap_plus_attack,D_oracle,P_alpha0.90,0.7385065789141414,0.9864521977537472,0.3649842907258064,0.39630123610601986,0.39827744036254686,0.041866412236548856
