scenario_id,detector_id,policy_id,A_mean,H_mean,loss_mean,loss_p90,loss_cvar
S0_nominal,D0_weak,P_alpha0.90,1.0,1.0,0.0020000000000000005,0.004,0.004400000000000001
S0_nominal,D1_improved,P_alpha0.90,1.0,1.0,0.0011,0.002,0.002444444444444445
S0_nominal,D_oracle,P_alpha0.90,1.0,1.0,0.0,0.0,0.0
S1_grid_cap,D0_weak,P_alpha0.90,0.965878787878788,1.0,0.036121212121212,0.038121212121212,0.038521212121212
S1_grid_cap,D0_weak,P_alpha1.00,0.9806060606060607,0.9324092741935479,0.10250281036168205,0.10450281036168205,0.10490281036168206
S1_grid_cap,D0_weak,P_availability_first,0.9806060606060607,0.9324092741935479,0.10250281036168205,0.10450281036168205,0.10490281036168206
S1_grid_cap,D1_improved,P_alpha0.90,0.965878787878788,1.0,0.035221212121212,0.036121212121212,0.03656565656565644
S1_grid_cap,D1_improved,P_alpha1.00,0.9806060606060607,0.9324092741935479,0.10160281036168206,0.10250281036168205,0.10294725480612649
S1_grid_cap,D1_improved,P_availability_first,0.9806060606060607,0.9324092741935479,0.10160281036168206,0.10250281036168205,0.10294725480612649
S1_grid_cap,D_oracle,P_alpha0.90,0.965878787878788,1.0,0.034121212121212,0.034121212121212,0.034121212121212
S1_grid_cap,D_oracle,P_alpha1.00,0.9806060606060607,0.9324092741935479,0.10050281036168204,0.10050281036168204,0.10050281036168204
S1_grid_cap,D_oracle,P_availability_first,0.9806060606060607,0.9324092741935479,0.10050281036168204,0.10050281036168204,0.10050281036168204
S2_hp_cap_peak,D0_weak,P_alpha0.90,1.0,1.0,0.0020000000000000005,0.004,0.004400000000000001
S2_hp_cap_peak,D1_improved,P_alpha0.90,1.0,1.0,0.0011,0.002,0.002444444444444445
S2_hp_cap_peak,D_oracle,P_alpha0.90,1.0,1.0,0.0,0.0,0.0
A0_attack_only,D0_weak,P_alpha0.60,0.5824655618686869,1.0,0.6021403409090909,0.6719085858585858,0.7068577967171716
A0_attack_only,D0_weak,P_aggressive,0.679859375,0.998909909921735,0.4220624483716958,0.4513924492531159,0.468693771287726
A0_attack_only,D0_weak,P_alpha0.90,0.6945022017045457,0.8963029892549492,0.6145401139672929,0.7224609736095828,0.7903120299835547
A0_attack_only,D0_weak,P_alpha1.00,0.7246591303661617,0.602624528663016,0.9367973380159968,1.0423337945992182,1.09474146454464
A0_attack_only,D0_weak,P_availability_first,0.7246591303661617,0.602624528663016,0.9367973380159968,1.0423337945992182,1.09474146454464
A0_attack_only,D1_improved,P_alpha0.60,0.7164325205176768,1.0,0.37347008364898987,0.39659854797979804,0.40874992108585856
A0_attack_only,D1_improved,P_alpha0.75,0.7188952809343434,0.9995436517312107,0.3715549411548703,0.39485228227333835,0.4061104556146138
A0_attack_only,D1_improved,P_balanced,0.7188952809343434,0.9995436517312107,0.3715549411548703,0.39485228227333835,0.4061104556146138
A0_attack_only,D1_improved,P_conservative,0.7281207386363636,0.9988692854467687,0.3699008757719585,0.39597698729991443,0.40440594595781393
A0_attack_only,D1_improved,P_alpha0.90,0.7510065972222222,0.9890429611449679,0.35204445357048303,0.3819072250860418,0.39355183640843916
A0_attack_only,D1_improved,P_alpha1.00,0.7529262152777778,0.7246767430160983,0.667364297269571,0.7224738680911943,0.7427972797531769
A0_attack_only,D1_improved,P_availability_first,0.7529262152777778,0.7246767430160983,0.667364297269571,0.7224738680911943,0.7427972797531769
A0_attack_only,D_oracle,P_alpha0.60,0.7204758285984849,1.0,0.3667576783459595,0.39142045454545443,0.39382528409090906
A0_attack_only,D_oracle,P_conservative,0.7382384785353535,0.9998537518901209,0.3489752136409457,0.3702161464697375,0.3743328604848891
A0_attack_only,D_oracle,P_alpha0.90,0.7505827256944444,0.9903459612506109,0.34823562774926675,0.37910028167257265,0.38194941619445455
A0_attack_only,D_oracle,P_alpha1.00,0.7511957465277778,0.7266501023338219,0.6640576376160804,0.7195879930861031,0.7234736137203691
A0_attack_only,D_oracle,P_availability_first,0.7511957465277778,0.7266501023338219,0.6640576376160804,0.7195879930861031,0.7234736137203691
A1_grid_cap_plus_attack,D0_weak,P_alpha0.45,0.5515530643939395,1.0,0.6330528383838384,0.7038516868686868,0.740112692550505
A1_grid_cap_plus_attack,D0_weak,P_aggressive,0.6589186710858586,0.9963972613372256,0.44601833058724843,0.47648923749847266,0.49186429246471763
A1_grid_cap_plus_attack,D0_weak,P_alpha0.90,0.6748650650252527,0.8770691467637572,0.6572578616360164,0.7628749156143076,0.8338678966033819
A1_grid_cap_plus_attack,D0_weak,P_alpha1.00,0.70627407354798,0.5953036138444676,0.9639674926164368,1.076542165673876,1.1229606176177094
A1_grid_cap_plus_attack,D0_weak,P_availability_first,0.70627407354798,0.5953036138444676,0.9639674926164368,1.076542165673876,1.1229606176177094
A1_grid_cap_plus_attack,D1_improved,P_alpha0.45,0.6892370514520202,1.0,0.40066555271464643,0.42444718813131316,0.4364838857323233
A1_grid_cap_plus_attack,D1_improved,P_alpha0.60,0.689833245580808,0.9995335628220208,0.4006290831994338,0.4243243409722222,0.43637817153388725
A1_grid_cap_plus_attack,D1_improved,P_alpha0.75,0.6958360842803031,0.998380461312024,0.39600996631193486,0.42002632629215525,0.43115972909538935
A1_grid_cap_plus_attack,D1_improved,P_balanced,0.6958360842803031,0.998380461312024,0.39600996631193486,0.42002632629215525,0.43115972909538935
A1_grid_cap_plus_attack,D1_improved,P_conservative,0.7031677083333334,0.9962957644664259,0.3979421312514001,0.4210781249236315,0.43282395626501907
A1_grid_cap_plus_attack,D1_improved,P_alpha0.90,0.7385868001893939,0.9847749454779653,0.3695858694037145,0.4001138486951166,0.41150558582676566
A1_grid_cap_plus_attack,D1_improved,P_alpha1.00,0.7474922569444444,0.7213556883285982,0.6767835212279042,0.7314937699118197,0.752188078364288
A1_grid_cap_plus_attack,D1_improved,P_availability_first,0.7474922569444444,0.7213556883285982,0.6767835212279042,0.7314937699118197,0.752188078364288
A1_grid_cap_plus_attack,D_oracle,P_alpha0.45,0.6932735624999999,1.0,0.39395994444444443,0.41859528409090907,0.420046654040404
A1_grid_cap_plus_attack,D_oracle,P_alpha0.60,0.6934810142045456,0.999843598216286,0.39394017488035593,0.41857341831622663,0.4200050739756435
A1_grid_cap_plus_attack,D_oracle,P_conservative,0.7129812373737374,0.9993546475974462,0.3748313799537715,0.3950037275731101,0.40107012272421794
A1_grid_cap_plus_attack,D_oracle,P_alpha0.90,0.7385065789141414,0.9864521977537472,0.3649842907258064,0.39630123610601986,0.39827744036254686
A1_grid_cap_plus_attack,D_oracle,P_alpha1.00,0.746364356060606,0.7235343448153406,0.6726279371054295,0.7277530767860053,0.7315397381705159
A1_grid_cap_plus_attack,D_oracle,P_availability_first,0.746364356060606,0.7235343448153406,0.6726279371054295,0.7277530767860053,0.7315397381705159
