scenario,detector,Abar,Hbar,loss_mean,loss_p90
A0,D0\_weak,0.679859375,0.998909909921735,0.4220624483716958,0.4513924492531159
A0,D1\_improved,0.7510065972222222,0.989042961144968,0.352044453570483,0.3819072250860418
A1,D0\_weak,0.6589186710858586,0.9963972613372256,0.4460183305872484,0.4764892374984726
A1,D1\_improved,0.7385868001893939,0.9847749454779652,0.3695858694037145,0.4001138486951166
