scenario_version,policy_grid_version,detector_set_version,scenario_id,detector_id,policy_id,seed,A,H,loss,loss_p90_term,contain_frac,breach_frac,false_alerts
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,2,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,3,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,4,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,5,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,6,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,7,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,8,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,9,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,10,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,11,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,12,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,13,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,14,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,15,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,16,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,17,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,18,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,19,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
