Template,Seed,A,H,loss,breach_frac
Telemetry delay/spoofing,0,0.7102967171717172,0.9994583403337813,0.3817421633166341,0.04722222222222222
Telemetry delay/spoofing,1,0.6944523358585859,0.9970208718357975,0.43113650682734606,0.18055555555555555
Telemetry delay/spoofing,2,0.6814567550505051,0.9997833361335126,0.42762268603372433,0.0763888888888889
Telemetry delay/spoofing,3,0.6758049242424243,0.9952875609038979,0.4473847248951204,0.12013888888888889
Telemetry delay/spoofing,4,0.7178693181818182,0.9991333445340501,0.37893455726621056,0.09166666666666666
Telemetry delay/spoofing,5,0.6585953282828284,0.9968583739359319,0.4756260118829422,0.15486111111111112
Telemetry delay/spoofing,6,0.669023042929293,0.9982125231014785,0.46631637379337726,0.2111111111111111
Telemetry delay/spoofing,7,0.704887941919192,0.9967500420026881,0.40738006323313775,0.1284722222222222
Telemetry delay/spoofing,8,0.6715419823232324,0.9989708466341847,0.4557693906046349,0.15902777777777777
Telemetry delay/spoofing,9,0.7086663510101011,0.9992958424339157,0.3919703047358667,0.10694444444444444
Telemetry delay/spoofing,10,0.6745754419191919,0.9986458508344535,0.4396537037461306,0.09236111111111112
Telemetry delay/spoofing,11,0.7071275252525252,0.9976708634352598,0.38726466084738526,0.06805555555555555
Telemetry delay/spoofing,12,0.722561553030303,0.9990250126008065,0.3649278762931737,0.06388888888888888
Telemetry delay/spoofing,13,0.6862989267676768,0.9945834033378137,0.437110711449169,0.16319444444444445
Telemetry delay/spoofing,14,0.7088573232323232,0.9974000336021505,0.38881124755620733,0.07152777777777777
Telemetry delay/spoofing,15,0.7005587121212121,0.9944750714045698,0.41041147997108185,0.11597222222222223
Telemetry delay/spoofing,16,0.7108396464646465,0.9981041911682348,0.4007408796890274,0.14444444444444443
Telemetry delay/spoofing,17,0.6750315656565657,0.9985916848678315,0.4326306347242587,0.06666666666666667
Telemetry delay/spoofing,18,0.6666019570707071,0.9986458508344535,0.4428355219279487,0.08402777777777778
Telemetry delay/spoofing,19,0.6819870580808082,0.998429186967966,0.4322243064465215,0.1326388888888889
Telemetry delay/spoofing,20,0.6887342171717171,0.9968583739359319,0.41448017854960906,0.06527777777777778
Telemetry delay/spoofing,21,0.6854876893939394,0.9994041743671596,0.42108146803213575,0.08263888888888889
Telemetry delay/spoofing,22,0.6998374368686868,0.9990250126008065,0.4015408813436787,0.08888888888888889
Telemetry delay/spoofing,23,0.698604797979798,0.999620838233647,0.4017113072509367,0.0763888888888889
Telemetry delay/spoofing,24,0.6916003787878788,0.995991718469982,0.4193206701592539,0.12222222222222222
Telemetry delay/spoofing,25,0.7158222853535354,0.9992958424339158,0.37571714817021007,0.06666666666666667
Telemetry delay/spoofing,26,0.7182702020202021,0.9991333445340501,0.3720058956500489,0.05277777777777778
Telemetry delay/spoofing,27,0.6668402777777779,0.995991718469982,0.46165021561379926,0.1388888888888889
Telemetry delay/spoofing,28,0.6851862373737374,0.9995125063004031,0.4250515328435567,0.09166666666666666
Telemetry delay/spoofing,29,0.6915546085858586,0.9975625315020161,0.42698146472283316,0.1625
Telemetry delay/spoofing,30,0.6928645833333335,0.9996750042002688,0.4179768005152329,0.12569444444444444
Telemetry delay/spoofing,31,0.6874163510101011,0.9977250294018818,0.42753583592986294,0.12777777777777777
Telemetry delay/spoofing,32,0.7161237373737374,0.9972375357022849,0.3852120531168541,0.1076388888888889
Telemetry delay/spoofing,33,0.6924794823232324,0.9995125063004031,0.4128971767829505,0.08611111111111111
Telemetry delay/spoofing,34,0.6601594065656565,0.9997833361335126,0.4621839234074617,0.13333333333333333
Telemetry delay/spoofing,35,0.7181139520202019,0.9984833529345878,0.3828726911249594,0.10416666666666667
Telemetry delay/spoofing,36,0.6856518308080808,0.9991333445340501,0.4351659335288368,0.1388888888888889
Telemetry delay/spoofing,37,0.6883633207070707,0.9971833697356631,0.42088469116568905,0.10625
Telemetry delay/spoofing,38,0.6827746212121213,0.998429186967966,0.4275131322040973,0.10138888888888889
Telemetry delay/spoofing,39,0.6896148989898989,0.9991333445340501,0.41205008756924094,0.05694444444444444
Heat-control tampering,0,0.73780523989899,0.9960106249299956,0.3597250657405708,0.035416666666666666
Heat-control tampering,1,0.7544359217171717,0.9952884657118056,0.342849863873106,0.05763888888888889
Heat-control tampering,2,0.7088020833333334,0.9958221413670475,0.40089884702620965,0.04791666666666667
Heat-control tampering,3,0.7183339646464647,0.9947628169452846,0.3827770439080827,0.027083333333333334
Heat-control tampering,4,0.7675558712121213,0.9957610633330534,0.3193711305659924,0.02013888888888889
Heat-control tampering,5,0.709863005050505,0.9963394342237903,0.397411618325391,0.04097222222222222
Heat-control tampering,6,0.7274343434343434,0.9943468809503808,0.3823355105363107,0.09027777777777778
Heat-control tampering,7,0.7527531565656566,0.9952619401391689,0.3395991819340074,0.03888888888888889
Heat-control tampering,8,0.7228285984848485,0.9959703959803426,0.38054859300540705,0.041666666666666664
Heat-control tampering,9,0.756615845959596,0.9962073051425291,0.3395673323138136,0.06597222222222222
Heat-control tampering,10,0.7107736742424243,0.9940141321544579,0.40311075606111507,0.06875
Heat-control tampering,11,0.752948547979798,0.9949557169158826,0.3466115361655873,0.06736111111111111
Heat-control tampering,12,0.7702686237373737,0.995424811687948,0.3165757689037553,0.03263888888888889
Heat-control tampering,13,0.7625454545454546,0.9958442505320341,0.32567061148277116,0.02847222222222222
Heat-control tampering,14,0.7351736111111111,0.9932087857372871,0.3705452904485888,0.0625
Heat-control tampering,15,0.7450306186868687,0.994929191343246,0.3506724072567917,0.04791666666666667
Heat-control tampering,16,0.7575886994949494,0.9946796297463039,0.3384832448094859,0.06458333333333334
Heat-control tampering,17,0.7188339646464648,0.9953451273381495,0.3877241047699781,0.04027777777777778
Heat-control tampering,18,0.7118743686868688,0.9951787529401882,0.39752223889601646,0.05277777777777778
Heat-control tampering,19,0.7320697601010102,0.996755370218694,0.3635251845254459,0.025694444444444443
Heat-control tampering,20,0.7324535984848486,0.9959274377310149,0.3658015317934891,0.017361111111111112
Heat-control tampering,21,0.7392200126262626,0.9952619401391688,0.36106982587340153,0.034027777777777775
Heat-control tampering,22,0.7452752525252525,0.9956778761340725,0.35143907389163825,0.05416666666666667
Heat-control tampering,23,0.7424782196969697,0.9969802526111671,0.354305199391852,0.049305555555555554
Heat-control tampering,24,0.7544434974747476,0.9951787529401882,0.33755727677480435,0.034027777777777775
Heat-control tampering,25,0.7674870580808081,0.9957571238309252,0.3197918933220817,0.03263888888888889
Heat-control tampering,26,0.738373106060606,0.9958707761046708,0.3604361292804557,0.04791666666666667
Heat-control tampering,27,0.7107282196969698,0.992959224140345,0.40990821133461625,0.08541666666666667
Heat-control tampering,28,0.7117238005050505,0.9941805065524194,0.4045651471876018,0.08888888888888889
Heat-control tampering,29,0.7457752525252526,0.9948460041442654,0.3550484313905179,0.05416666666666667
Heat-control tampering,30,0.7391013257575758,0.9957610633330534,0.3628256760205379,0.07013888888888889
Heat-control tampering,31,0.7399296085858587,0.9937910961301523,0.3632502427246253,0.06180555555555556
Heat-control tampering,32,0.7615757575757576,0.9919609777525763,0.3376891246767064,0.06875
Heat-control tampering,33,0.7306815025252524,0.9922672009758625,0.375542300748157,0.05138888888888889
Heat-control tampering,34,0.7046849747474748,0.9936411544088821,0.40853591773964437,0.06041666666666667
Heat-control tampering,35,0.747519255050505,0.9956778761340725,0.34804923803305243,0.059027777777777776
Heat-control tampering,36,0.7447645202020202,0.9952619401391688,0.3518794849643106,0.02361111111111111
Heat-control tampering,37,0.7492629419191918,0.9957610633330534,0.34332378208114406,0.025
Heat-control tampering,38,0.7124128787878788,0.994929191343246,0.403672091600226,0.08611111111111111
Heat-control tampering,39,0.7163939393939394,0.9950519433243727,0.39312011750570225,0.05625
Control-plane compromise,0,0.747071158008658,0.9997645889336918,0.34595439082646745,0.035416666666666666
Control-plane compromise,1,0.7711219336219336,0.9982206226198476,0.3226452636786938,0.05763888888888889
Control-plane compromise,2,0.7191175144300145,0.9995203082997312,0.3861456156103082,0.04791666666666667
Control-plane compromise,3,0.7274835407647907,0.9987779720402106,0.3688092816758455,0.027083333333333334
Control-plane compromise,4,0.7670314754689755,0.9995672655549956,0.31532808364280746,0.02013888888888889
Control-plane compromise,5,0.714116838023088,0.9994045628920251,0.3894796309509264,0.04097222222222222
Control-plane compromise,6,0.7500608766233767,0.9984490997423835,0.35478631479687417,0.09027777777777778
Control-plane compromise,7,0.7613162878787878,0.9991726187976031,0.3263432362307552,0.03888888888888889
Control-plane compromise,8,0.7328686417748916,0.9996988144741263,0.36603444752282344,0.041666666666666664
Control-plane compromise,9,0.7706227453102454,0.9997291719170026,0.3213341928337959,0.06597222222222222
Control-plane compromise,10,0.7169494047619047,0.9981860019041218,0.391928781842038,0.06875
Control-plane compromise,11,0.7702096861471861,0.9979575247815861,0.3257482285593551,0.06736111111111111
Control-plane compromise,12,0.7772028318903319,0.9986152693772401,0.30581301152364665,0.03263888888888889
Control-plane compromise,13,0.7647788149350649,0.999633040014561,0.31889070371412853,0.02847222222222222
Control-plane compromise,14,0.7482178932178931,0.9965762611307124,0.35346003786969643,0.0625
Control-plane compromise,15,0.7600897366522367,0.9989095209593414,0.33083689375210923,0.04791666666666667
Control-plane compromise,16,0.7704802489177489,0.9987121975806452,0.32075261398547683,0.06458333333333334
Control-plane compromise,17,0.7285073953823954,0.9992383932571685,0.37337875493122463,0.04027777777777778
Control-plane compromise,18,0.7244079184704184,0.9991068443380375,0.3802749794350476,0.05277777777777778
Control-plane compromise,19,0.7428097943722943,0.999733435189852,0.34921147228877214,0.025694444444444443
Control-plane compromise,20,0.737718704906205,0.9996988144741263,0.356010773280399,0.017361111111111112
Control-plane compromise,21,0.7454703282828283,0.9991726187976031,0.3501266958267146,0.034027777777777775
Control-plane compromise,22,0.7585087481962483,0.9995014910954301,0.33361724026701345,0.05416666666666667
Control-plane compromise,23,0.7543988997113996,0.999733435189852,0.33908070028300014,0.049305555555555554
Control-plane compromise,24,0.7603314393939393,0.9991068443380375,0.3269556251781934,0.034027777777777775
Control-plane compromise,25,0.7786611652236654,0.9989441416750673,0.3047933647662539,0.03263888888888889
Control-plane compromise,26,0.7498640422077923,0.9986810438368057,0.34557287185470753,0.04791666666666667
Control-plane compromise,27,0.7282426948051949,0.996378937752016,0.3882900798923859,0.08541666666666667
Control-plane compromise,28,0.7325746302308802,0.9983175508232527,0.3787498643367721,0.08888888888888889
Control-plane compromise,29,0.7590643037518038,0.998843746499776,0.3369620893373539,0.05416666666666667
Control-plane compromise,30,0.754244678932179,0.9995672655549956,0.34311488017960406,0.07013888888888889
Control-plane compromise,31,0.7552647005772005,0.9970366823476703,0.34402044727226183,0.06180555555555556
Control-plane compromise,32,0.7760292658730159,0.9955896442372312,0.3188812165978622,0.06875
Control-plane compromise,33,0.742060560966811,0.9968047382532483,0.3587181975737355,0.05138888888888889
Control-plane compromise,34,0.717431231962482,0.9978571296062948,0.3907304902877419,0.06041666666666667
Control-plane compromise,35,0.7643547077922078,0.9995014910954301,0.32662544733772053,0.059027777777777776
Control-plane compromise,36,0.7518668831168832,0.9991726187976031,0.34008430765932646,0.02361111111111111
Control-plane compromise,37,0.7545614628427129,0.9995672655549956,0.33345781849129236,0.025
Control-plane compromise,38,0.7245986652236652,0.9989095209593414,0.3867099096251251,0.08611111111111111
Control-plane compromise,39,0.7300592983405484,0.9985806486615143,0.3752203121545234,0.05625
